...1,Song,lyric
208, Protector ,i couldn't tell what i asked for even if you were listening still
209, Protector ,protector
210, Protector ,protector
211, Protector ,i am not sure that you're my nightly news
212, Protector ,reporting local untruths
213, Protector ,you had one hell of a headline
214, Protector ,with no detailing the body but you kept me glued
215, Protector ,protector
216, Protector ,protector
1, Joni: LA's No. 1 Health Goth ,"""hello, the program you are about to watch is a special presentation brought to you by ihtv's public broadcasting network"
2, Joni: LA's No. 1 Health Goth ,"this program was made possible by the efforts of illuminati hotties corporation, and contributions from little shredders like you. thank you!"""
3, Joni: LA's No. 1 Health Goth ,you wish
4, Joni: LA's No. 1 Health Goth ,you were
5, Joni: LA's No. 1 Health Goth ,like her
6, Joni: LA's No. 1 Health Goth ,like her
7, Joni: LA's No. 1 Health Goth ,joni is a punk babe
8, Joni: LA's No. 1 Health Goth ,joni is the second wave
9, Joni: LA's No. 1 Health Goth ,joni is a black jean jacket
10, Joni: LA's No. 1 Health Goth ,joni's in the first band
11, Joni: LA's No. 1 Health Goth ,joni has a cool hand
12, Joni: LA's No. 1 Health Goth ,joni knows the problem is systematic
13, Joni: LA's No. 1 Health Goth ,joni cut the tour line
14, Joni: LA's No. 1 Health Goth ,joni doesn't have time
15, Joni: LA's No. 1 Health Goth ,joni likes to dart on stage
16, Joni: LA's No. 1 Health Goth ,joni's on a juice cleanse
17, Joni: LA's No. 1 Health Goth ,joni doesn't need friends
18, Joni: LA's No. 1 Health Goth ,cause joni's got the whole room trained
19, Joni: LA's No. 1 Health Goth ,you wish
20, Joni: LA's No. 1 Health Goth ,you were
21, Joni: LA's No. 1 Health Goth ,like her
22, Joni: LA's No. 1 Health Goth ,like her
23, Joni: LA's No. 1 Health Goth ,i bet she never looks your way
24, Joni: LA's No. 1 Health Goth ,i bet she never looks your way
25, Joni: LA's No. 1 Health Goth ,i bet she never cared
26, Joni: LA's No. 1 Health Goth ,i bet she never cared
27, Joni: LA's No. 1 Health Goth ,i bet she never cared about you
28, Joni: LA's No. 1 Health Goth ,you wish
29, Joni: LA's No. 1 Health Goth ,you were
30, Joni: LA's No. 1 Health Goth ,like her
31, Joni: LA's No. 1 Health Goth ,like her
32, Joni: LA's No. 1 Health Goth ,when joni's on a first date
33, Joni: LA's No. 1 Health Goth ,joni goes to third base
34, Joni: LA's No. 1 Health Goth ,and when you wake up joni's long gone
35, Joni: LA's No. 1 Health Goth ,now joni's at the desert house where only joni sings loud
36, Joni: LA's No. 1 Health Goth ,cause joni never wrote a bad song
37, Joni: LA's No. 1 Health Goth ,you wish
38, Joni: LA's No. 1 Health Goth ,you were
39, Joni: LA's No. 1 Health Goth ,like her
40, Joni: LA's No. 1 Health Goth ,i bet she never looks your way
41, Joni: LA's No. 1 Health Goth ,i bet she never looks your way
42, Joni: LA's No. 1 Health Goth ,i bet she never cared
43, Joni: LA's No. 1 Health Goth ,i bet she never cared
44, Joni: LA's No. 1 Health Goth ,i bet she never cared about you
45, Joni: LA's No. 1 Health Goth ,joni's got a brand new mullet
46, Joni: LA's No. 1 Health Goth ,fast and cool as a silver bullet
47, Joni: LA's No. 1 Health Goth ,and she's on your couch
48, Joni: LA's No. 1 Health Goth ,and she wants you to pull it!
49, Joni: LA's No. 1 Health Goth ,i bet she never looks your way
50, Joni: LA's No. 1 Health Goth ,i bet she never looks your way
51, Joni: LA's No. 1 Health Goth ,i bet she never cared
52, Joni: LA's No. 1 Health Goth ,i bet she never cared
53, Joni: LA's No. 1 Health Goth ,i bet she never cared about you
54, Joni: LA's No. 1 Health Goth ,you wish
55, Joni: LA's No. 1 Health Goth ,you were
56, Joni: LA's No. 1 Health Goth ,like her
57, Joni: LA's No. 1 Health Goth ,like her
65, Kickflip ,i got a slice in my bed
66, Kickflip ,i got my heart in my head
67, Kickflip ,i got the impending dread
68, Kickflip ,i got the magical thread
69, Kickflip ,i lost the keys to the van
70, Kickflip ,i lost my man to my mans
71, Kickflip ,i lost a leg in the sand
72, Kickflip ,i bought the grocery store brand
73, Kickflip ,i took a ticket to die
74, Kickflip ,i took the heart of a spy
75, Kickflip ,i took your terrible try
76, Kickflip ,i took ya...
77, Kickflip ,i am a get-up-and-go
78, Kickflip ,i slam a topo chico
79, Kickflip ,i left with such a lame soul
80, Kickflip ,you gotta get up and go
81, Kickflip ,now all the coffee is hot
82, Kickflip ,while you were chewing your slot
83, Kickflip ,i can't believe that you saw that time i landed a kickflip
84, Kickflip ,when every day is the same
85, Kickflip ,when every day is the same
86, Kickflip ,when i am tired and strange
87, Kickflip ,when every day is the same
88, Kickflip ,every day is the same
89, Kickflip ,when every day is the same
90, Kickflip ,when i am tired and strange
91, Kickflip ,when every day is the same
99, Toasting ,toasting a pop-tart and thinking of you
100, Toasting ,there's a lot i'd rather do
101, Toasting ,instead i'm biting my lip
102, Toasting ,and i'm biting yours too
103, Toasting ,till the blood tastes like chocolate goo
104, Toasting ,our bodies are twirlin'
105, Toasting ,the kitchen is burning
106, Toasting ,and we both choked down the ashes
107, Toasting ,you mention you're bored
108, Toasting ,i guess i could've toasted more
116, The Sway ,stick shift and a boatload of brio
117, The Sway ,counting every day we non-zeroed
118, The Sway ,caught sifting through our clothes on the way home
119, The Sway ,soft split a borrowed twelve of modelo with me
120, The Sway ,had some discourse on the nuance and confusion
121, The Sway ,'bout the difference between your lovers and your muses
122, The Sway ,"i can't help the way that i've been cruising, but"
123, The Sway ,please share all your stains and your bruises with me
124, The Sway ,you're leaning in
125, The Sway ,i'm leaning away
126, The Sway ,you think you could love me through the sway?
127, The Sway ,post that can't help but bite on your lower lip
128, The Sway ,i slept while you were twirling an e-cig
129, The Sway ,takes gumption to be brave and empathic
130, The Sway ,made sense to get your confidence polished with me
131, The Sway ,you're leaning in
132, The Sway ,i'm leaning away
133, The Sway ,you think that you could love me through the sway?
134, The Sway ,you could love me through the sway?
135, The Sway ,and this is all that matters
136, The Sway ,the kitty-corner patterns
137, The Sway ,our favorite friends' catchphrases
138, The Sway ,the flat collage of faces
139, The Sway ,and when you fell from my mouth
140, The Sway ,crashed on the corduroy couch
141, The Sway ,you couldn't bear to bring me downstairs in the morning
142, The Sway ,i'm leaning in
143, The Sway ,you're leaning away
144, The Sway ,you think that you could love me through the sway?
145, The Sway ,you could love me through the sway?
146, The Sway ,you could love me through the sway?
154, Cheap Shoes ,get cheap shoes
155, Cheap Shoes ,'cause you wear them through
156, Cheap Shoes ,and i know you wanna wear mine too
157, Cheap Shoes ,print the bad news in your zine
158, Cheap Shoes ,consult the o.e.d
159, Cheap Shoes ,and brush up on hypocrisy
160, Cheap Shoes ,one side empty and one side dry
161, Cheap Shoes ,i'll drink the way you'll die
162, Cheap Shoes ,to report back on afterlife
163, Cheap Shoes ,get cheap shoes
164, Cheap Shoes ,'cause you wear them through
165, Cheap Shoes ,and i know you wanna wear mine too
166, Cheap Shoes ,never thought i'd grow attached
167, Cheap Shoes ,but now our sneakers match
168, Cheap Shoes ,and one of us always feels bad
169, Cheap Shoes ,took the shortcut when i split
170, Cheap Shoes ,guess i got rocks to kick and kid i am an idiot
171, Cheap Shoes ,get cheap shoes
172, Cheap Shoes ,'cause you wear them through
173, Cheap Shoes ,and i know you wanna wear mine too
174, Cheap Shoes ,get cheap shoes
175, Cheap Shoes ,'cause you wear them through
176, Cheap Shoes ,and i know you wanna wear mine too
177, Cheap Shoes ,get cheap shoes
178, Cheap Shoes ,'cause you wear them through
179, Cheap Shoes ,and i know you wanna wear mine too
187, Growth ,i have been careful for all of my years
188, Growth ,i tried not to move too much of your hair
189, Growth ,did you find it endearing?
190, Growth ,hesitance so sincere
191, Growth ,but you treated me like a company jet
192, Growth ,took me a few times on luxurious spins
193, Growth ,cashed in on amenities and bragged to your friends
194, Growth ,but it's not like they care
195, Growth ,they're so wrapped in themselves
196, Growth ,like the news stand on hillhurst
197, Growth ,all the gossip and wealth
198, Growth ,you're so used to the ignorance of the apathetic
199, Growth ,each time i come home
200, Growth ,i still look for my dog
201, Growth ,it's a force of old habit
202, Growth ,it's not that i forgot
203, Growth ,for a second i'm alright
204, Growth ,'till i realize she's gone
205, Growth ,i guess being an adult is just being alone
206, Growth ,"i'll go back to the couch, let you stare at your phone"
207, Growth ,we'll pretend this is normal
208, Growth ,we'll pretend this is growth
209, Growth ,"uh, let me do one more"
217, Can't Be Still ,i can't be still
218, Can't Be Still ,i can't be still
219, Can't Be Still ,i can't be still
220, Can't Be Still ,i can't be
221, Can't Be Still ,a power lunch
222, Can't Be Still ,i take my calls in the car
223, Can't Be Still ,i pack a punch
224, Can't Be Still ,a firm handshake can take you so far
225, Can't Be Still ,i'm a rush
226, Can't Be Still ,"i'm double speed, straight to your head"
227, Can't Be Still ,the perfect stunt
228, Can't Be Still ,begging for bedlam on the reg
229, Can't Be Still ,i can't be still
230, Can't Be Still ,i can't be still
231, Can't Be Still ,i can't be still
232, Can't Be Still ,i can't be
233, Can't Be Still ,i can't be still
234, Can't Be Still ,i can't be still
235, Can't Be Still ,i can't be still
236, Can't Be Still ,i can't be
237, Can't Be Still ,"ah, ah, ah"
238, Can't Be Still ,"oh, when things are moving too slow"
239, Can't Be Still ,"ah, ah, ah"
240, Can't Be Still ,"oh, got places i wanna go"
241, Can't Be Still ,"ah, ah, ah"
242, Can't Be Still ,"oh, oh, oh, i can't be alone now"
243, Can't Be Still ,show me how
244, Can't Be Still ,an adderall
245, Can't Be Still ,i keep my focus on the brain
246, Can't Be Still ,i'm a ball
247, Can't Be Still ,can hardly keep my laughter contained
248, Can't Be Still ,bring it on
249, Can't Be Still ,i triple-book my saturdays
250, Can't Be Still ,but i pretend
251, Can't Be Still ,my program keeps me from freaking
252, Can't Be Still ,out
253, Can't Be Still ,"oh, when things are moving too slow"
254, Can't Be Still ,"ah, ah, ah"
255, Can't Be Still ,"oh, got places i wanna go"
256, Can't Be Still ,"ah, ah, ah"
257, Can't Be Still ,"oh, oh, oh, i can't be alone now"
258, Can't Be Still ,show me how
259, Can't Be Still ,i can't be still
260, Can't Be Still ,i can't be still
261, Can't Be Still ,i can't be still
262, Can't Be Still ,i can't be
263, Can't Be Still ,i can't be still
264, Can't Be Still ,i can't be still
265, Can't Be Still ,i can't be still
266, Can't Be Still ,i can't be
274," I Would Like, Still Love You ",if you came to murder me one night in my sleep
275," I Would Like, Still Love You ","i would like, still"
276," I Would Like, Still Love You ",love you
277," I Would Like, Still Love You ",and if you came to burn down my house while i was out
278," I Would Like, Still Love You ","i would like, still"
279," I Would Like, Still Love You ",love you
280," I Would Like, Still Love You ",if you threw a drink in my face to prove i'm wrong
281," I Would Like, Still Love You ","i would like, still"
282," I Would Like, Still Love You ",love you
283," I Would Like, Still Love You ","if you looked away and said, ""this is the last time"""
284," I Would Like, Still Love You ","i would like, still"
285," I Would Like, Still Love You ",love you
286," I Would Like, Still Love You ",every days a blessing
287," I Would Like, Still Love You ",every days a problem
288," I Would Like, Still Love You ",every day is messy
289," I Would Like, Still Love You ",every day i'm solving you
290," I Would Like, Still Love You ",still love you
291," I Would Like, Still Love You ",still love you
292," I Would Like, Still Love You ","i would like, still love you"
293," I Would Like, Still Love You ",if you slash a knife through my tire id be stuck
294," I Would Like, Still Love You ","but i would like, still"
295," I Would Like, Still Love You ",love you
296," I Would Like, Still Love You ",if you drill a hole through my hard drive don't worry i'm backed up and still...
297," I Would Like, Still Love You ",i love you
298," I Would Like, Still Love You ",still love you
299," I Would Like, Still Love You ",still love you
300," I Would Like, Still Love You ","i would like, still love you"
301," I Would Like, Still Love You ",when you
302," I Would Like, Still Love You ",ignore me
303," I Would Like, Still Love You ",my heart
304," I Would Like, Still Love You ",is soaring
305," I Would Like, Still Love You ",i cannot
306," I Would Like, Still Love You ",name a way
307," I Would Like, Still Love You ",you could ever fall from grace
308," I Would Like, Still Love You ",unless of course you ever say
309," I Would Like, Still Love You ",that you don't think of me that way
310," I Would Like, Still Love You ",but if you told all of our friends that i hated them
311," I Would Like, Still Love You ","i would like, still"
312," I Would Like, Still Love You ",love you
313," I Would Like, Still Love You ",and you can't look me in the eye and truthfully tell me that you don't
314," I Would Like, Still Love You ",love me too
315," I Would Like, Still Love You ",still love you
316," I Would Like, Still Love You ",i would like still love you
324, Throw (Life Raft) ,see
325, Throw (Life Raft) ,the starboard solo
326, Throw (Life Raft) ,be the brightest burnout
327, Throw (Life Raft) ,you see
328, Throw (Life Raft) ,i'm unreliable
329, Throw (Life Raft) ,i'm dropping everything
330, Throw (Life Raft) ,i'm dropping what i'm doing
331, Throw (Life Raft) ,to be
332, Throw (Life Raft) ,above
333, Throw (Life Raft) ,to throw
334, Throw (Life Raft) ,your love
335, Throw (Life Raft) ,a life raft
336, Throw (Life Raft) ,an artifact
337, Throw (Life Raft) ,to slice
338, Throw (Life Raft) ,the fuzz
339, Throw (Life Raft) ,to throw
340, Throw (Life Raft) ,your love
341, Throw (Life Raft) ,a life raft
342, Throw (Life Raft) ,but would you laugh
343, Throw (Life Raft) ,at me
344, Throw (Life Raft) ,i'm always falling behind
345, Throw (Life Raft) ,so i
346, Throw (Life Raft) ,sit back
347, Throw (Life Raft) ,soft in the middle
348, Throw (Life Raft) ,i'm taking my time
349, Throw (Life Raft) ,please
350, Throw (Life Raft) ,you know i'm falling behind
351, Throw (Life Raft) ,come on
352, Throw (Life Raft) ,sit back
353, Throw (Life Raft) ,soft in the middle
354, Throw (Life Raft) ,and take your time
355, Throw (Life Raft) ,i think of you often
356, Throw (Life Raft) ,i think of fondly
357, Throw (Life Raft) ,"i think, if you wanted me"
358, Throw (Life Raft) ,i'd drop everything
359, Throw (Life Raft) ,i'd drop what i'm doing
360, Throw (Life Raft) ,to be
361, Throw (Life Raft) ,above
362, Throw (Life Raft) ,to throw
363, Throw (Life Raft) ,your love
364, Throw (Life Raft) ,a life raft
365, Throw (Life Raft) ,with a note attached
366, Throw (Life Raft) ,from me
367, Throw (Life Raft) ,i'm always one step behind
368, Throw (Life Raft) ,so i
369, Throw (Life Raft) ,sit back
370, Throw (Life Raft) ,soft in the middle
371, Throw (Life Raft) ,i'm taking my time
372, Throw (Life Raft) ,please
373, Throw (Life Raft) ,i'm only one step behind
374, Throw (Life Raft) ,come on
375, Throw (Life Raft) ,sit back
376, Throw (Life Raft) ,soft in the middle
377, Throw (Life Raft) ,and take your time
1, Rot ,sunk in a
2, Rot ,a morning pure
3, Rot ,learning that
4, Rot ,there's no cure
5, Rot ,i knew when
6, Rot ,i first heard
7, Rot ,you're shattered
8, Rot ,that i'm sure
9, Rot ,covered in fog
10, Rot ,i'm carrying on
11, Rot ,it's impossible
12, Rot ,to carry it all
13, Rot ,when i'm dropping the ball
14, Rot ,living is optional
15, Rot ,name unknown
16, Rot ,hammered into the stone
17, Rot ,so let me alone
18, Rot ,let me alone
19, Rot ,chop down the
20, Rot ,deadly forest
21, Rot ,mycelium
22, Rot ,exploring
23, Rot ,fixated
24, Rot ,on the root rot
25, Rot ,start fresh
26, Rot ,and clear the whole lot
27, Rot ,covered in fog
28, Rot ,i'm carrying on
29, Rot ,it's impossible
30, Rot ,to carry it all
31, Rot ,when i'm dropping the ball
32, Rot ,living is optional
33, Rot ,name unknown
34, Rot ,hammered into the stone
35, Rot ,so let me alone
36, Rot ,let me alone
37, Rot ,keep it up
38, Rot ,you've been so tough i
39, Rot ,hate my gut
40, Rot ,but i've been wrong
41, Rot ,covered in fog
42, Rot ,you're carrying on
43, Rot ,it's impossible
44, Rot ,to carry it all
45, Rot ,when i'm dropping the ball
46, Rot ,living is optional
47, Rot ,name unknown
48, Rot ,hammered into the stone
49, Rot ,so let me alone
50, Rot ,let me alone
58, Falling In Love With Somebody Better ,i'm falling in love with somebody better
59, Falling In Love With Somebody Better ,i'm finding myself in the drawers of her dresser
60, Falling In Love With Somebody Better ,she wants what i want
61, Falling In Love With Somebody Better ,so i won't upset her
62, Falling In Love With Somebody Better ,i wish that you had met her
63, Falling In Love With Somebody Better ,"i say, ""i'm doing ok"""
64, Falling In Love With Somebody Better ,like i'm trying to convince her
65, Falling In Love With Somebody Better ,she's pulling each word out of me like a splinter
66, Falling In Love With Somebody Better ,i cave from the weight of her easy pressure
67, Falling In Love With Somebody Better ,i wish that you had met her
68, Falling In Love With Somebody Better ,i've fallen in love with someone better
69, Falling In Love With Somebody Better ,all black on a summer serpent path
70, Falling In Love With Somebody Better ,trudging behind your tracks
71, Falling In Love With Somebody Better ,when you said
72, Falling In Love With Somebody Better ,"""forget that, i got nothing to turn it back"""
73, Falling In Love With Somebody Better ,now i wish you could see me better
74, Falling In Love With Somebody Better ,i can be cold
75, Falling In Love With Somebody Better ,i'm as hard as acceptance
76, Falling In Love With Somebody Better ,running up tabs and denying the past tense
77, Falling In Love With Somebody Better ,i'm pouring in salt and she's getting sweeter
78, Falling In Love With Somebody Better ,i wish that you could meet her
79, Falling In Love With Somebody Better ,she looks like a pistol but kicks like a shotgun
80, Falling In Love With Somebody Better ,fresh as the morning when i'm so rotten
81, Falling In Love With Somebody Better ,i wanted to lie if i'm being honest
82, Falling In Love With Somebody Better ,i love her but i'm stupid
83, Falling In Love With Somebody Better ,if you were around i'd introduce you
84, Falling In Love With Somebody Better ,all black on a boot hill plot of grass
85, Falling In Love With Somebody Better ,trudging your faded tracks
86, Falling In Love With Somebody Better ,wish i could
87, Falling In Love With Somebody Better ,"forget that, i got nothing to turn it back"
88, Falling In Love With Somebody Better ,and i want you to see me better
89, Falling In Love With Somebody Better ,i'm falling in love with somebody better
90, Falling In Love With Somebody Better ,falling in love with somebody better
91, Falling In Love With Somebody Better ,falling in love with somebody better
92, Falling In Love With Somebody Better ,i'm falling in love with somebody
93, Falling In Love With Somebody Better ,i'm falling in love with somebody better
94, Falling In Love With Somebody Better ,falling in love with somebody better
95, Falling In Love With Somebody Better ,falling in love with somebody better
96, Falling In Love With Somebody Better ,i wish that you had met her
104, The L ,i'm irritated
105, The L ,clench my jaw and tell a lie
106, The L ,but i know that you're patient
107, The L ,muscle through my rotten vibe
108, The L ,feel like
109, The L ,fallin'
110, The L ,think i
111, The L ,got this
112, The L ,ok ok ok
113, The L ,i love you more today
114, The L ,forget the things i said
115, The L ,i'll take the l instead
116, The L ,impossibly tough
117, The L ,can't control my speaking spell
118, The L ,you know i'm stubborn enough
119, The L ,to give it up or give 'em hell
120, The L ,think i
121, The L ,got this
122, The L ,ok ok ok
123, The L ,i love you more today
124, The L ,we could go separate ways
125, The L ,i'll take the l instead
126, The L ,ok ok ok
127, The L ,i love you more today
128, The L ,forgive the things i've said
129, The L ,i'll take the l instead
130, The L ,all i
131, The L ,do for
132, The L ,you i
133, The L ,need to
134, The L ,do for
135, The L ,me too
136, The L ,think i
137, The L ,got this
138, The L ,ok ok ok
139, The L ,ok ok ok
140, The L ,i love you more today
141, The L ,i'll love you more
142, The L ,ok ok ok
143, The L ,i love you more today
144, The L ,forget the things i said
145, The L ,i'll take the l instead
153, Sleeping In ,i don't like laying around
154, Sleeping In ,but you like sleeping in
155, Sleeping In ,so i like sleeping in now
156, Sleeping In ,i don't like anyone else
157, Sleeping In ,and you like sleeping in
158, Sleeping In ,so i like sleeping in now
159, Sleeping In ,don't be sad
160, Sleeping In ,when i get up
161, Sleeping In ,i'll be right back
162, Sleeping In ,with your favorite mug
163, Sleeping In ,listening to arthur russell
164, Sleeping In ,wait for you to move a muscle
165, Sleeping In ,we're a wild combination
166, Sleeping In ,i don't like laying around
167, Sleeping In ,but you like sleeping in
168, Sleeping In ,so i like sleeping in now
169, Sleeping In ,i don't like anyone else
170, Sleeping In ,and you like sleeping in
171, Sleeping In ,so i like sleeping in now
172, Sleeping In ,you're effortless
173, Sleeping In ,lucky for me
174, Sleeping In ,'cause i'm a wreck
175, Sleeping In ,"weary, weak, and horny"
176, Sleeping In ,"in case you need to hear again, ""you're lovely"""
177, Sleeping In ,you're lovely
178, Sleeping In ,love is coexistence
179, Sleeping In ,you forget that you're just living side by side
180, Sleeping In ,lalalalalala
181, Sleeping In ,i don't like laying around
182, Sleeping In ,but you like sleeping in
183, Sleeping In ,so i like sleeping in now
184, Sleeping In ,i don't like anyone else
185, Sleeping In ,and you like sleeping in
186, Sleeping In ,so i like sleeping in now
187, Sleeping In ,while the earth
188, Sleeping In ,is spinning slow
189, Sleeping In ,you're asleep
190, Sleeping In ,you're aglow
198, Didn't ,left out
199, Didn't ,lawless
200, Didn't ,promise
201, Didn't ,i know impossible truth
202, Didn't ,vicious
203, Didn't ,sick of it
204, Didn't ,my way
205, Didn't ,i won't do it
206, Didn't ,wanna
207, Didn't ,finish
208, Didn't ,what if
209, Didn't ,what if i just didn't?
210, Didn't ,didn't
211, Didn't ,do it
212, Didn't ,didn't
213, Didn't ,do it
214, Didn't ,didn't
215, Didn't ,do it
216, Didn't ,what if i just didn't?
217, Didn't ,listen
218, Didn't ,honest
219, Didn't ,there's so much
220, Didn't ,that i'm expected to do
221, Didn't ,i feel
222, Didn't ,so insufficient
223, Didn't ,yeah i'm not
224, Didn't ,engineered quite like you
225, Didn't ,ambition
226, Didn't ,intermittent
227, Didn't ,then i think
228, Didn't ,"well, what if i just didn't?"
229, Didn't ,didn't
230, Didn't ,do it
231, Didn't ,didn't
232, Didn't ,do it
233, Didn't ,didn't
234, Didn't ,do it
235, Didn't ,what if i just didn't?
236, Didn't ,didn't
237, Didn't ,do it
238, Didn't ,didn't
239, Didn't ,do it
240, Didn't ,didn't
241, Didn't ,do it
242, Didn't ,what if i just didn't?
243, Didn't ,do what you want to
244, Didn't ,you know i'm so unenthused
245, Didn't ,i don't want to
246, Didn't ,what if i just didn't?
247, Didn't ,do what you want to
248, Didn't ,you know i'm so unenthused
249, Didn't ,i don't want to
250, Didn't ,what if i just didn't?
258, You Are Not Who You Were ,feeling vindicated
259, You Are Not Who You Were ,i checked and you are not that famous
260, You Are Not Who You Were ,not to be combative
261, You Are Not Who You Were ,but finally it doesn't matter
262, You Are Not Who You Were ,i'm everything you wanted
263, You Are Not Who You Were ,except i've never been dishonest
264, You Are Not Who You Were ,you are not who you were when this began
265, You Are Not Who You Were ,you are not who you are when we're hand in hand
266, You Are Not Who You Were ,when we're hand in hand
267, You Are Not Who You Were ,could've had me foolish
268, You Are Not Who You Were ,nightly you kept me on coolant
269, You Are Not Who You Were ,buzzing in the bathroom
270, You Are Not Who You Were ,i stitch myself to your disaster
271, You Are Not Who You Were ,i'm everything you wanted
272, You Are Not Who You Were ,except for everything you want
273, You Are Not Who You Were ,you are not who you were when this began
274, You Are Not Who You Were ,you are not who you are when we're hand in hand
275, You Are Not Who You Were ,you are not who you were when this began
276, You Are Not Who You Were ,you are not who you are when we're hand in hand
277, You Are Not Who You Were ,when we're hand in hand
278, You Are Not Who You Were ,you are not who you were when this began
279, You Are Not Who You Were ,you are not who you were when this began
287, What's the Fuzz ,"get busy dying and keep it hush, hush"
288, What's the Fuzz ,dissolve the poison in flattened peach crush
289, What's the Fuzz ,living is easier when you're stupid
290, What's the Fuzz ,might as well just keep it moving
291, What's the Fuzz ,get your ice cream! get your jesus!
292, What's the Fuzz ,"howdy, alaska, the tundra's freezing"
293, What's the Fuzz ,working the basics and building muscle
294, What's the Fuzz ,i'm not doing anything too special
295, What's the Fuzz ,blinder on a bucking bronco
296, What's the Fuzz ,pull the rug and shake it clean
297, What's the Fuzz ,what's the fuzz across my mind now?
298, What's the Fuzz ,squinting hard but i can't see
299, What's the Fuzz ,blinder on a bucking bronco
300, What's the Fuzz ,pull the rug and shake it clean
301, What's the Fuzz ,what's the fuzz across my mind now?
302, What's the Fuzz ,squinting hard but i can't see
303, What's the Fuzz ,blinder on a bucking bronco
304, What's the Fuzz ,bring the paywall to its knees
305, What's the Fuzz ,what's the fuzz across my mind now?
306, What's the Fuzz ,squinting hard so i can't see
314, YSL ,smoking at the met at dawn
315, YSL ,tell them that i'm yves st. laurent
316, YSL ,"this time last year, could barely walk"
317, YSL ,"don't play, don't play"
318, YSL ,"don't play, don't play, don't play"
319, YSL ,half a liter of my scum
320, YSL ,"a trouser suit, a mondrian"
321, YSL ,it takes so much to turn me off
322, YSL ,"don't play, don't play"
323, YSL ,"don't play, don't play, don't play"
324, YSL ,do you really want to waste your time?
325, YSL ,waste your time?
326, YSL ,do you really want to waste your time?
327, YSL ,waste your time?
328, YSL ,secret kept at your request
329, YSL ,didn't know i had one week left
330, YSL ,earned more than you once i was dead
331, YSL ,"don't play, don't play"
332, YSL ,"don't play, don't play, don't play"
333, YSL ,loved you always
334, YSL ,i am strong
335, YSL ,ready-to-wear couture on lock
336, YSL ,the girls will thank me once i'm gone
337, YSL ,"don't play, don't play"
338, YSL ,"don't play, don't play, don't play"
339, YSL ,do you really want to waste your time?
340, YSL ,waste your time?
341, YSL ,do you really want to waste your time?
342, YSL ,waste your time?
343, YSL ,do you really want to waste your time?
344, YSL ,waste your time?
345, YSL ,do you really want to waste your time?
346, YSL ,waste your time?
354, Power ,needle knife as a bookmark
355, Power ,"reminder to keep your wit sharp, oh"
356, Power ,when the fear
357, Power ,became real
358, Power ,taking on all my dumb shit
359, Power ,"wrapping it in your velvet, ah"
360, Power ,and i knew
361, Power ,i was cruel
362, Power ,i want to be where you are
363, Power ,i want to feel your
364, Power ,power
365, Power ,power
366, Power ,butterfly in the backyard
367, Power ,"comfort a fissured clay heart, ah"
368, Power ,but the sign
369, Power ,isn't mine
370, Power ,i want to be where you are
371, Power ,i want to feel your
372, Power ,power
373, Power ,power
374, Power ,i want to be where you are
375, Power ,i want to feel your
376, Power ,power
377, Power ,power
378, Power ,power
379, Power ,power
387, Everything Changes ,did you know?
388, Everything Changes ,everything changes
389, Everything Changes ,when you lose someone
390, Everything Changes ,when you lose someone
391, Everything Changes ,everything changes
392, Everything Changes ,now you can't get up
393, Everything Changes ,now the good is gone
394, Everything Changes ,while you're watching
395, Everything Changes ,every person around you
396, Everything Changes ,getting their life done
397, Everything Changes ,like they're moving on
398, Everything Changes ,'cause they're moving on
399, Everything Changes ,and everything changes
400, Everything Changes ,you're the only one
401, Everything Changes ,"yeah, you got stuck"
402, Everything Changes ,and you can't unpause
1, content//bedtime ,"three, two, one"
2, content//bedtime ,content
3, content//bedtime ,bedtime
4, content//bedtime ,e-motivational deadline
5, content//bedtime ,content
6, content//bedtime ,bedtime
7, content//bedtime ,e-motivational deadline (you are correct)
8, content//bedtime ,content
9, content//bedtime ,bedtime
10, content//bedtime ,e-motivational deadline (ah)
11, content//bedtime ,content
12, content//bedtime ,bedtime
13, content//bedtime ,e-motivational deadline (ah)
14, content//bedtime ,(content)
15, content//bedtime ,(bedtime)
16, content//bedtime ,everyone likes being around me
17, content//bedtime ,everyone likes being around you more
18, content//bedtime ,everyone like following fashion
19, content//bedtime ,everyone likes everyone else much more
20, content//bedtime ,everyone likes being around me
21, content//bedtime ,everyone likes being around you more
22, content//bedtime ,everyone likes filling the timeline
23, content//bedtime ,everyone likes keeping the best shots for the
24, content//bedtime ,content
25, content//bedtime ,bedtime
26, content//bedtime ,e-motivational deadline (they keeping it all for the content)
27, content//bedtime ,content
28, content//bedtime ,bedtime (alright)
29, content//bedtime ,e-motivational deadline (repeat after me)
30, content//bedtime ,content (t-e-e-e)
31, content//bedtime ,bedtime (v-e-e-e)
32, content//bedtime ,(w-w-dot-illuminati-hotties)
33, content//bedtime ,e-motivational deadline
34, content//bedtime ,(content)
35, content//bedtime ,t-e-e-e
36, content//bedtime ,(bedtime)
37, content//bedtime ,v-e-e-e
38, content//bedtime ,(e-motivational deadline)
39, content//bedtime ,w-w-dot-illuminati-hotties
40, content//bedtime ,(content)
41, content//bedtime ,oh-oh-oh-oh
42, content//bedtime ,(bedtime)
43, content//bedtime ,no-oh-oh-oh
44, content//bedtime ,(e-motivational deadline)
45, content//bedtime ,pouring a bowl of illuminati hot-o's
46, content//bedtime ,(content)
